,回収数,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないの自由（％）,その他（％）,わからない（％）,無回答（％）,投票するべき計（％）,
今回選挙,1823,32.7,46.0,18.9,0.1,2.4,0.0,78.7,
平成25年参議院議員選挙,1089,26.2,39.1,29.7,0.4,2.9,1.7,65.3,
