選挙,全体n,投票日(7月10日)に投票した（％）,投票日(7月31日)に投票した（％）,期日前投票（又は不在者投票等）をした（％）,投票しなかった（％）,答えたくない（％）,投票した（計）（％）
参議院議員選挙,1823,67.3,,11.5,20.7,0.6,78.7
東京都知事選挙,1823,,68.8,13.0,17.6,0.6,81.8
