,ｎ,選挙期間に入る前から（6月21日以前）（％）,投票するまでの選挙期間中(投票した日を除く)(%),投票した日当日（％）,わからない、忘れた（％）
全体,209,28.2,64.6,6.7,0.5
職業別自営業,28,39.3,50.0,10.7,0.0
職業別勤め人,99,22.2,67.7,10.1,0.0
職業別学生,4,50.0,50.0,0.0,0.0
職業別専業主婦(夫),42,28.6,66.7,2.4,2.4
職業別その他,4,25.0,75.0,0.0,0.0
職業別無職(年金受給者含む),32,34.4,65.6,0.0,0.0
選挙への関心度別関心があった(計),183,29.0,66.1,4.4,0.5
選挙への関心度別関心がなかった(計),10,20.0,60.0,20.0,0.0
選挙への関心度別どちらともいえない,16,25.0,50.0,25.0,0.0
