,ｎ,日常的に使っている（％）,時々使っている（％）,ほとんど利用しない（％）,無回答（％）
今回選挙,1055,88.1,11.5,0.5,0.0
平成26年衆議院議員選挙,984,86.7,12.2,0.9,0.2
