,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,候補者等のポスター（％）,選挙公報（％）,テレビ・ラジオの政見放送・経歴放送（％）,投票所入場（整理）券（％）,候補者等の新聞広告（％）,候補者等の街頭演説（％）,,
全体,1823,87.9,53.4,49.1,40.5,23.1,21.9,19.7,17.3,,
関心度別関心があった(計),1424,92.0,61.4,54.1,49.1,27.5,23.1,23.0,19.7,,
関心度別関心がなかった(計),175,64.0,20.6,18.9,8.0,5.1,7.4,2.9,7.4,,
関心度別どちらともいえない,209,85.2,29.2,44.5,12.0,9.6,27.3,12.9,10.0,,
投票への参加状況別投票した,1491,92.5,59.5,56.1,47.6,26.8,23.9,23.1,20.1,,
投票への参加状況別投票しなかった,321,67.9,26.2,18.1,8.7,6.5,12.1,4.4,4.7,,
