質問,n=2011(%)
電車・バス・駅構内、庁舎・公共施設等でのポスター,30.2
テレビ、電車内、駅中のモニター、街中の大型モニター、QBハウス内モニター、コンビニレジ画面での動画広告放映,27.5
選挙広報用の新聞広告,15.0
区市町村の広報車,11.1
都、区市町村の広報誌,8.8
区市町村の公報掲示板,6.4
スーパー、コンビニなどの店内放送、防災無線による放送,3.8
庁舎や公園などの懸垂幕・横断幕・のぼり旗,3.3
ラジオCM,2.6
都及び区市町村のホームページ,1.7
インターネットバナー広告(Yahoo!JAPAN),1.5
都知事選メッセージバス,1.4
ポケットティッシュ、マスク等の公報グッズ,1.3
新宿駅西口の柱面電飾広告,1.1
銀座数寄屋橋交差点の大型懸垂幕,0.9
都、区市町村のSNS(ツイッター等),0.7
都庁舎のライトアップ,0.6
はし袋広告(コンビニ、大学で配布),0
その他,0.3
見たり聞いたりしたものはない,19.2
わからない、忘れた,23.7
無回答,0.3
