,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1232,52.3,50.0,11.4,,,,
性別男性,577,53.2,49.4,12.5,,,,
性別女性,655,51.5,50.5,10.4,,,,
年齢別18歳,3,33.3,100.0,16.7,,,,
年齢別19歳,6,50.0,50.0,16.7,,,,
年齢別20歳代,61,44.3,32.8,18.0,,,,
年齢別30歳代,159,52.8,45.9,13.8,,,,
年齢別40歳代,279,54.5,47.7,12.2,,,,
年齢別50歳代,233,51.9,57.9,10.3,,,,
年齢別60歳代,254,50.8,51.6,12.2,,,,
年齢別70歳代,178,54.5,49.4,6.7,,,,
年齢別80歳以上,59,50.8,50.8,8.5,,,,
