,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1208,51.5,50.6,11.4,,,,
選挙への関心度別関心があった(計),1017,52.7,51.6,12.0,,,,
選挙への関心度別関心がなかった(計),58,51.7,34.5,8.6,,,,
選挙への関心度別どちらともいえない,132,41.7,50.0,8.3,,,,
新聞の定期購読別定期購読している,958,48.4,58.4,10.5,,,,
新聞の定期購読別定期購読していない,250,63.2,20.8,14.8,,,,
