,政党支部の名称,事務所の所在地,緯度,経度,座標系,代表者,会計責任者,設立届出日,国会議員関係
1,日本共産党東京都委員会,渋谷区代々木１－３５－１５,35.683699,139.701752,座標系（JGD2011）,若林義春,紺野二行,S51.2.24,
2,日本共産党東京都千代田地区委員会,千代田区神田神保町１－４０,35.697443,139.757958,座標系（JGD2011）,中村尚美,加藤勝義,S51.2.26,
3,日本共産党東京都中央地区委員会,中央区入船３－４－２,35.670531,139.776399,座標系（JGD2011）,尾坪順,田中幸治,S51.2.25,
4,日本共産党東京都港地区委員会,港区芝浦３－１－１４,35.644987,139.750574,座標系（JGD2011）,千葉一成,千葉一成,S51.1.7,
5,日本共産党新宿地区委員会,新宿区住吉町１１－２５,35.694513,139.720440,座標系（JGD2011）,中野顕,宮本房江,S51.3.1,
6,日本共産党文京地区委員会,文京区白山３－２－５,35.718676,139.743178,座標系（JGD2011）,長島正人,町田道一,S51.2.20,
7,日本共産党台東地区委員会,台東区千束３－１０－９,35.721152,139.791840,座標系（JGD2011）,龍野紀義,折原和家子,S51.3.1,
8,日本共産党東京都墨田地区委員会,墨田区押上２－１９－５,35.713747,139.813678,座標系（JGD2011）,阿藤和之,堀口亮一,S51.2.27,
9,日本共産党江東地区委員会,江東区千石２－８－１６,35.679129,139.815779,座標系（JGD2011）,新野正雄,吉田年男,S51.2.27,
10,日本共産党品川地区委員会,品川区二葉２－７－１８,35.604312,139.724865,座標系（JGD2011）,香西克介,前田和久,S51.2.27,
11,日本共産党目黒地区委員会,目黒区目黒本町２－１５－２２,35.626506,139.692561,座標系（JGD2011）,宮本栄,野本鉄夫,S51.3.1,
12,日本共産党大田地区委員会,大田区西蒲田６－３４－７,35.564590,139.711542,座標系（JGD2011）,岡田克己,丹治広宗,S51.3.1,
13,日本共産党世田谷地区委員会,世田谷区世田谷４－１９－６,35.645481,139.652500,座標系（JGD2011）,三田真紀,青木敬,S51.1.7,
14,日本共産党渋谷地区委員会,渋谷区千駄ケ谷５－３３－３,35.687178,139.703543,座標系（JGD2011）,菅野茂,種橋弘,S51.2.28,
15,日本共産党東京都中野地区委員会,中野区中央４－４４－１３,35.702391,139.670455,座標系（JGD2011）,亀井清,工藤周司,S51.2.27,
16,日本共産党杉並地区委員会,杉並区高円寺南３－３０－１２,35.702607,139.644010,座標系（JGD2011）,酒井文男,藤原淳一,S51.2.28,
17,日本共産党豊島地区委員会,豊島区西池袋３－３０－１,35.730854,139.706972,座標系（JGD2011）,岸良信,山本敏江,S51.2.26,
18,日本共産党東京都北地区委員会,北区中十条２－１１－６,35.762603,139.726618,座標系（JGD2011）,遠藤久,野村寿乃,S51.2.17,
19,日本共産党荒川地区委員会,荒川区荒川２－４４－６,35.739184,139.781853,座標系（JGD2011）,鈴木賢一,本田信子,S51.2.28,
20,日本共産党板橋地区委員会,板橋区坂下１－２０－７,35.780065,139.685580,座標系（JGD2011）,須藤武美,佐々木紀夫,S51.1.17,
21,日本共産党東京都練馬地区委員会,練馬区貫井５－６－１７,35.742258,139.635791,座標系（JGD2011）,岸良信,大村英喜,S51.1.7,
22,日本共産党足立地区委員会,足立区梅島２－１６－２,35.776403,139.798927,座標系（JGD2011）,柿崎幸俊,上原猛,S51.2.27,
23,日本共産党東京都飾地区委員会,葛飾区立石３－２７－１９,35.740036,139.845269,座標系（JGD2011）,新井杉生,中山ひとし,S51.2.26,
24,日本共産党江戸川地区委員会,江戸川区中央２－７－５,35.708372,139.872217,座標系（JGD2011）,河合恭一,河合恭一,S51.2.26,
25,日本共産党八王子地区委員会,八王子市北野町５９０－３,35.652892,139.354745,座標系（JGD2011）,鈴木宏昌,村田正,S51.3.16,
26,日本共産党立川昭島地区委員会,立川市富士見町５－６－１９,35.697098,139.404316,座標系（JGD2011）,大野誠,星篤麿,S53.1.7,
27,日本共産党武蔵野三鷹地区委員会,武蔵野市中町１－３９－１１,35.702969,139.564376,座標系（JGD2011）,室喜代一,金子澄子,S53.1.7,
28,日本共産党調布狛江府中地区委員会,府中市八幡町２－２７－２８,35.669694,139.489678,座標系（JGD2011）,阿部真,坂内淳,S53.1.7,
29,日本共産党町田地区委員会,町田市森野３－７－４６,35.551941,139.436649,座標系（JGD2011）,古橋良恭,室谷友英,S51.3.16,
30,日本共産党北多摩中部地区委員会,小金井市貫井北町２－１９－１,35.707998,139.496141,座標系（JGD2011）,小泉民未嗣,渡辺文雄,S53.1.7,
31,日本共産党北多摩北部地区委員会,東村山市青葉町２－２９－２,35.763070,139.493009,座標系（JGD2011）,金野和則,向道子,S53.1.7,
32,日本共産党西多摩青梅地区委員会,福生市武蔵野台１－７－５,35.745850,139.333517,座標系（JGD2011）,数野一,工藤敬一,S53.1.7,
33,日本共産党東京都南多摩地区委員会,多摩市貝取１－１４－６,35.630100,139.442242,座標系（JGD2011）,山岸晴彦,曽我治雄,S53.1.7,
34,日本共産党北多摩東部地区委員会,西東京市西原町４－５－７８,35.738240,139.531636,座標系（JGD2011）,鈴木文夫,西川保男,S53.1.7,
