,性別,ｎ,知っている（％）,知らなかった（％）,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,全体,1823,93.2,6.8,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,男性,852,94.6,5.4,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,女性,971,92.0,8.0,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,全体,1699,92.1,7.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,男性,806,93.3,6.7,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,女性,893,90.9,9.1,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,全体,1699,71.2,28.8,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,男性,806,72.3,27.7,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,女性,893,70.2,29.8,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,全体,1699,69.3,30.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,男性,806,72.5,27.5,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,女性,893,66.5,33.5,,,,,
オ)期日前投票は夜の８時までできること,全体,1699,68.5,31.5,,,,,
オ)期日前投票は夜の８時までできること,男性,806,69.2,30.8,,,,,
オ)期日前投票は夜の８時までできること,女性,893,67.7,32.3,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,全体,1699,18.8,81.2,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,男性,806,22.7,77.3,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,女性,893,15.2,84.8,,,,,
