,今回選挙（平成28年）平均,今回選挙（平成28年）男性,今回選挙（平成28年）女性,25,22,19,16,13,10,7,4,1,備考
調査における投票率（Ａ）,78.7,79,78.5,63.9,76.2,76.1,69.7,71.8,75.6,57.6,65.3,80.6,
実際の投票率（Ｂ）,57.5,57.4,57.6,53.5,58.7,57.9,56.1,53.3,57.9,42.3,46.6,58.0,
差（Ａ）－（Ｂ）,21.2,21.6,20.9,10.4,17.5,18.2,13.6,18.5,17.7,15.3,18.7,22.6,
,,,,,,,,,,,,,注：実際の投票率（Ｂ）は、小数点以下第２位を四捨五入して掲載
