,ｎ,テレビ（％）,新聞（％）,携帯電話・スマートフォン・タブレット等でのインターネット（％）,パソコンでのインターネット（％）
全体,1823,88.5,66.4,49.4,39.9
職業別自営業,133,85.7,74.4,44.4,48.1
職業別勤め人,821,87.7,58.1,71.1,55.4
職業別学生,47,83.0,25.5,93.6,74.5
職業別専業主婦(夫),395,94.2,75.7,42.5,29.4
職業別その他,25,80.0,60.0,44.0,44.0
職業別無職(年金受給者含む),402,86.8,76.9,8.7,11.4
