,回収数,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないの自由（％）,その他（％）,わからない（％）,無回答（％）,投票するべき計（％）,
今回選挙,1823,33.7,45.4,18.4,0.1,2.4,0.0,79.2,
平成26年東京都知事選挙,2011,30.3,42.0,23.5,0.4,3.1,0.7,72.3,
