,(n=1435)（％）
ニュースサイトや選挙情報サイト,21.7
候補者・政党等のホームページ・ブログ,7.9
まとめサイトや電子掲示板などその他のサイト,5.6
候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,3.8
YouTubeなど動画共有サイトでの候補者演説等選挙関連の動画,3.7
候補者・政党以外のホームページ・ブログ,2.4
候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,1.7
候補者等からのメール,0.2
その他,0.1
触れていない、見ていない,68.6
わからない、忘れた,4.9
