選挙区名/登録者数,今回（平成29年6月：国内＋在外）(A)計,今回（平成29年6月：国内＋在外）男内訳,今回（平成29年6月：国内＋在外）女内訳,前回（平成29年3月：国内＋在外）(B)計,前回（平成29年3月：国内＋在外）男内訳,前回（平成29年3月：国内＋在外）女内訳,増（△）減(A-B)
総数,11265446,5525688,5739758,11254626,5520949,5733677,10820
東京都第1区,516348,249730,266618,515504,249358,266146,844
東京都第2区,463028,224988,238040,460544,223711,236833,2484
東京都第3区,505531,244831,260700,505115,244633,260482,416
東京都第4区,447366,226826,220540,447168,226818,220350,198
東京都第5区,500225,231728,268497,499624,231577,268047,601
東京都第6区,491120,231475,259645,490551,231200,259351,569
東京都第7区,468656,230205,238451,468349,229929,238420,307
東京都第8区,481031,228754,252277,480558,228505,252053,473
東京都第9区,468626,226642,241984,468091,226363,241728,535
東京都第10区,367941,183285,184656,367678,183164,184514,263
東京都第11区,464775,228753,236022,464869,228843,236026,△94
東京都第12区,410167,203713,206454,409914,203655,206259,253
東京都第13区,437605,219992,217613,437363,219882,217481,242
東京都第14区,391463,195012,196451,391215,194951,196264,248
東京都第15区,410898,202943,207955,410636,202900,207736,262
東京都第16区,475744,241313,234431,475236,241171,234065,508
東京都第17区,457198,228479,228719,456835,228313,228522,363
東京都第18区,435916,214851,221065,435831,214876,220955,85
東京都第19区,489168,238286,250882,488657,238079,250578,511
東京都第20区,416161,203016,213145,416104,203035,213069,57
東京都第21区,398159,198644,199515,397912,198519,199393,247
東京都第22区,489478,238968,250510,488568,238457,250111,910
東京都第23区,482167,234750,247417,481473,234421,247052,694
東京都第24区,470397,234954,235443,470357,234948,235409,40
東京都第25区,326278,163550,162728,326474,163641,162833,△196
