,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,無回答（％）,読んだ（計）（％）
今回選挙,993,15.0,58.6,17.6,8.0,0.8,91.2
平成24年衆議院議員選挙,1068,17.5,59.6,17.8,5.1,0.0,94.9
平成21年衆議院議員選挙,1067,22.9,56.0,14.2,6.6,0.3,93.1
