,ｎ,よく読んだ（％）,一通りざっと読んだ（％）,一部分だけ読んだ（％）,読まなかった（％）,無回答（％）,読んだ（計）（％）,備考
全体,993,15.0,58.6,17.6,8.0,0.8,91.2,
,,,,,,,,注：合計値では四捨五入の関係上、比率の単純な合計とは多少の差がある。
