質問,n,よく読んだ(%),一通りざっと読んだ(%),一部分だけ読んだ(%),読まなかった(%),無回答(%),読んだ(計)(%)
全体,(1086),15.4,60.6,14.8,8.6,0.6,90.8
選挙への関心度別関心があった(計),(846),18.6,64.5,12.6,3.7,0.6,95.7
選挙への関心度別関心がなかった(計),(134),5.2,41.8,23.1,29.1,0.7,70.1
選挙への関心度別どちらともいえない,(106),2.8,52.8,21.7,21.7,0.9,77.4
