区分,平成27年団体数,平成27年金額(価格)(千円),平成26年団体数,平成26年(価格)(千円),増減団体数,増減(価格)(千円)
土地,24,1222287,24,1222287,0,0
建物,27,915444,27,1067397,0,△151953
地上権・貸借権,3,108206,3,108206,0,0
動産,40,159771,39,160586,1,△816
預貯金,32,648873,34,676910,△2,△28036
金銭信託,0,0,0,0,0,0
有価証券,2,76919,1,1919,1,75000
出資による権利,1,50,1,50,0,0
貸付金,5,37943,4,28916,1,9027
敷金,3,8241,4,9361,△1,△1120
施設利用権,0,0,0,0,0,0
借入金,96,836676,102,879824,△6,△43149
