,ｎ,ニュースサイトや選挙情報サイト（％）,候補者・政党等のホームページ・ブログ（％）,まとめサイトや電子掲示板などその他のサイト（％）,触れていない、見ていない（％）
全体,1435,21.7,7.9,5.6,68.6
性別男性,673,27.0,11.9,6.8,61.8
性別女性,762,16.9,4.3,4.6,74.5
年齢別18歳,6,50.0,-,16.7,50.0
年齢別19歳,10,10.0,-,20.0,70.0
年齢別20歳代,88,31.8,11.4,18.2,48.9
年齢別30歳代,199,33.2,11.1,11.1,54.3
年齢別40歳代,327,33.3,11.3,6.1,60.9
年齢別50歳代,260,21.9,7.3,5.0,67.7
年齢別60歳代,296,11.8,6.8,2.0,78.7
年齢別70歳代,185,5.4,2.7,0.5,83.8
年齢別80歳以上,64,3.1,-,-,93.8
