,割合（％）,備考
今回選挙新聞折込で配布,49.7,
平成24年衆議院議員選挙新聞折込で配布,50.7,
今回選挙各戸配布（新聞折込以外）,47.8,
平成24年衆議院議員選挙各戸配布（新聞折込以外）,49.9,
今回選挙公共施設等に置いてあった,10.0,
平成24年衆議院議員選挙公共施設等に置いてあった,8.3,
今回選挙区市町村からの郵送,5.3,
平成24年衆議院議員選挙区市町村からの郵送,6.7,
今回選挙都及び区市町村・総務省のホームページ,1.6,
平成24年衆議院議員選挙都及び区市町村・総務省のホームページ,3.0,
今回選挙わからない、忘れた,3.2,
平成24年衆議院議員選挙わからない、忘れた,0.4,
今回選挙無回答,1.4,
平成24年衆議院議員選挙無回答,3.4,
,,今回選挙（ｎ＝993）
,,平成24年衆議院議員選挙（ｎ＝1068）
