,ｎ,投開票速報及び結果（％）,期日前投票所一覧、開票所一覧（％）,選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）（％）,比例代表の情報（名簿届出政党等一覧、選挙公報）（％）,選挙Ｑ＆Ａ（％）,政見放送・経歴放送の日程（％）,18歳選挙権PRサイト（TOHYO都）（％）,わからない、覚えていない（％）,,,,
全体,402,51.7,29.4,28.6,19.4,14.9,10.2,7.0,35.6,,,,
性別男性,231,54.5,32.9,33.8,22.1,18.2,13.4,7.8,31.2,,,,
性別女性,171,48.0,24.6,21.6,15.8,10.5,5.8,5.8,41.5,,,,
年齢別18歳,2,-,-,50.0,50.0,-,-,-,50.0,,,,
年齢別19歳,2,-,50.0,50.0,-,-,-,50.0,50.0,,,,
年齢別20歳代,36,52.8,30.6,16.7,8.3,13.9,2.8,16.7,33.3,,,,
年齢別30歳代,75,61.3,37.3,32.0,21.3,9.3,8.0,5.3,30.7,,,,
年齢別40歳代,104,63.5,33.7,35.6,26.9,18.3,11.5,6.7,26.9,,,,
年齢別50歳代,85,45.9,27.1,27.1,20.0,18.8,10.6,2.4,37.6,,,,
年齢別60歳代,64,42.2,23.4,28.1,12.5,15.6,15.6,10.9,43.8,,,,
年齢別70歳代,30,33.3,16.7,13.3,16.7,10.0,6.7,3.3,53.3,,,,
年齢別80歳以上,4,25.0,-,25.0,-,-,25.0,-,50.0,,,,
