,ｎ,各戸配布（新聞折込以外）（％）,新聞折込で配布（％）,公共施設等に置いてあった（％）,,,,
全体,1208,51.5,50.6,11.4,,,,
性別男性,571,52.5,49.9,12.3,,,,
性別女性,637,50.5,51.2,10.7,,,,
年齢別18歳,3,33.3,100.0,-,,,,
年齢別19歳,6,50.0,50.0,16.7,,,,
年齢別20歳代,59,44.1,33.9,18.6,,,,
年齢別30歳代,151,52.3,47.7,14.6,,,,
年齢別40歳代,274,55.1,48.2,12.4,,,,
年齢別50歳代,230,50.0,58.3,9.6,,,,
年齢別60歳代,251,49.8,51.8,12.4,,,,
年齢別70歳代,176,52.8,49.4,6.8,,,,
年齢別80歳以上,58,50.0,51.7,8.6,,,,
