,ｎ,知っている（％）,知らなかった（％）,無回答（％）,備考
ア）投票日前に投票できる制度（期日前投票）があること,1827,96.7,3.0,0.3,
イ）仕事や買い物、旅行などを理由として期日前投票ができること,1766,88.2,8.9,2.9,
ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること,1766,65.0,32.3,2.7,
エ）期日前投票は、公示日の翌日から投票日の前日（土日含む）までの間できること（衆議院議員選挙の場合は11日間）,1766,67.3,29.9,2.8,
オ）期日前投票は夜の8時までできること,1766,57.2,40.1,2.7,
カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,1766,26.0,71.1,2.9,
,,,,,注：イ～カは、アで「知っている」と回答した方
