,全体ｎ,選挙期間に入る前から（％）,投票日当日を除く選挙期間中（％）,投票日当日（％）,わからない、忘れた（％）,備考
参議院議員選挙,1226,21.5,66.2,11.7,0.7,選挙期間（6月22日から7月9日まで）、投票日当日（7月10日）
東京都知事選挙,1254,27.9,61.9,9.7,0.5,選挙期間（7月14日から7月30日まで）、投票日当日（7月31日）
