投票した動機,割合（％）,備考
国政をよくするためには、投票することが大切だと思ったから,51.3,
投票することは、義務であるから,48.6,
投票することは、権利であるから,39.2,
自分の支持する政党の推す候補者を当選させたかったから,26.5,
今の政治がよくないので、変えたいと思ったから,17.1,
当選させたい候補者がいたから,16.9,
当選させたくない候補者がいたから,4.6,
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,4.3,
投票率が気になったから,4.1,
友人や家族が行くから、なんとなく,3.9,
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,3.0,
インターネット上の情報を見て興味を持ったから,1.1,
その他,0.9,
わからない,0.3,
無回答,0.1,
,,（ｎ＝1246）
