,全体ｎ,選挙期間に入る前から（7月13日以前）（％）,選挙期間に入る前から（6月21日以前）（％）,投票するまでの選挙期間中(投票した日を除く)(%),投票した日当日（％）,わからない、忘れた（％）,
参議院議員選挙,209,28.2,,64.6,6.7,0.5,
東京都知事選挙,237,,28.3,64.1,7.6,0.0,
