質問,今回選挙(n=1086),平成24年都知事選挙(n=1068)(%)
新聞折込で配布,54.2,50.7
各戸配布(新聞折込以外),41.3,49.9
公共施設等に置いてあった,9.4,8.3
区市町村からの郵送,2.6,6.7
都及び区市町村のホームページ,2.5,3.0
わからない、忘れた,2.6,0.4
無回答,2.0,3.4
