,選挙公報と接触した形比率（％）,備考,,,,,
参議院議員選挙/各戸配布（新聞折込以外）,51.5,,,,,,
参議院議員選挙/新聞折込で配布,50.6,,,,,,
参議院議員選挙/公共施設等に置いてあった,11.4,,,,,,
参議院議員選挙/区市町村からの郵送,2.2,,,,,,
参議院議員選挙/都及び区市町村・総務省のホームページ,1.7,,,,,,
参議院議員選挙/わからない、忘れた,3.8,,,,,,
東京都知事選挙/各戸配布（新聞折込以外）,52.3,,,,,,
東京都知事選挙/新聞折込で配布,50.0,,,,,,
東京都知事選挙/公共施設等に置いてあった,11.4,,,,,,
東京都知事選挙/都及び区市町村のホームページ,2.4,,,,,,
東京都知事選挙/区市町村からの郵送,2.4,,,,,,
東京都知事選挙/わからない、忘れた,4.1,,,,,,
,,参議院議員選挙（ｎ＝1208）,,,,,
,,東京都知事選挙（ｎ＝1232）,,,,,
