,(n=1491)（％）
ニュースサイトや選挙情報サイト,22.5
候補者・政党等のホームページ・ブログ,7.2
まとめサイトや電子掲示板などその他のサイト,6.2
候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,4.2
YouTubeなど動画共有サイトでの候補者演説等選挙関連の動画,3.9
候補者・政党以外のホームページ・ブログ,2.3
候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,2.3
候補者等からのメール,0.1
その他,0.1
触れていない、見ていない,68.1
わからない、忘れた,4.2
