,（n＝1435）（％）
国政、都政をよくするためには、投票することが大切だと思ったから,52.5
当選させたい候補者がいたから,36.5
自分の支持する政党の推す候補者を当選させたかったから,34.9
投票することは、義務であるから,28.5
今の政治がよくないので、変えたいと思ったから,27.0
投票することは、権利であるから,26.3
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,6.1
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,5.6
当選させたくない候補者がいたから,3.6
投票率が気になったから,2.8
友人や家族が行くから、なんとなく,2.5
インターネット上の情報を見て興味を持ったから,1.7
その他,0.1
わからない,1.0
