,（ｎ=321）（％）,,,,
仕事が忙しく、時間がなかったから,37.7,,,,
病気（看病を含む）又は体調が悪かったから,23.1,,,,
政治や選挙には関心がないから,16.5,,,,
自分一人が投票しなくても選挙の結果に影響がないから,14.6,,,,
選挙によって政治や暮らしが良くなるわけではないから,12.8,,,,
適当な候補者がいなかったから,9.7,,,,
投票所へ行くのが面倒だったから,9.3,,,,
投票日を忘れていたから、知らなかったから,4.0,,,,
旅行に出かけていたから,3.4,,,,
投票所が遠かった（不便だった、わからなかった）から,2.5,,,,
候補者の人柄や政策がわからなかったから,1.2,,,,
その他,2.5,,,,
わからない、忘れた,1.9,,,,
