区分,収入額,収入額構成比,内訳党費又は会費,内訳寄附,内訳事業収入,内訳借入金,内訳本部支部交付金,内訳その他の収入
政党支部(百万円),9381,,647,3552,478,54,4439,211
政党支部(%),100.0,63.4,6.9,37.9,5.1,0.6,47.3,2.2
その他の政治団体(百万円),5413,,1021,2527,1375,60,351,79
その他の政治団体(%),100.0,36.6,18.9,46.7,25.4,1.1,6.5,1.5
計(百万円),14794,,1668,6078,1854,114,4790,290
計(%),100.0,100.0,11.3,41.1,12.5,0.8,32.4,2.0
