,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,候補者等のポスター（％）,選挙公報（％）,テレビ・ラジオの政見放送・経歴放送（％）,投票所入場（整理）券（％）,候補者等の新聞広告（％）,候補者等の街頭演説（％）,,
全体,1823,87.9,53.4,49.1,40.5,23.1,21.9,19.7,17.3,,
職業別自営業,133,85.7,62.4,40.6,42.1,35.3,16.5,22.6,13.5,,
職業別勤め人,821,88.2,49.6,54.9,36.4,21.3,27.3,20.8,19.4,,
職業別学生,47,76.6,27.7,27.7,17.0,8.5,10.6,2.1,4.3,,
職業別専業主婦(夫),395,92.2,56.5,54.7,49.4,24.3,23.3,23.0,22.0,,
職業別その他,25,84.0,44.0,28.0,32.0,32.0,8.0,4.0,8.0,,
職業別無職(年金受給者含む),402,85.6,58.7,38.6,42.8,22.6,13.4,16.2,11.7,,
地域別区部,1381,88.1,49.5,53.2,41.1,23.7,24.3,22.4,19.0,,
地域別市郡部,442,87.6,65.4,36.4,38.5,21.3,14.5,11.3,11.8,,
