,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,見た（計）（％）,,,,
全体,1823,6.3,54.4,13.7,22.9,2.7,74.4,,,,
職業別自営業,133,12.8,51.9,15.8,18.8,0.8,80.5,,,,
職業別勤め人,821,4.9,54.0,14.5,25.0,1.7,73.3,,,,
職業別学生,47,2.1,34.0,10.6,44.7,8.5,46.8,,,,
職業別専業主婦(夫),395,5.8,60.5,14.7,17.5,1.5,81.0,,,,
職業別その他,25,4.0,64.0,28.0,4.0,0.0,96.0,,,,
職業別無職(年金受給者含む),402,8.2,52.0,9.7,23.9,6.2,69.9,,,,
選挙への関心度別関心があった(計),1283,8.7,63.8,14.5,12.3,0.6,87.1,,,,
選挙への関心度別関心がなかった(計),227,0.4,17.2,8.8,63.9,9.7,26.4,,,,
選挙への関心度別どちらともいえない,298,0.7,44.6,14.4,37.2,3.0,59.7,,,,
