,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,候補者等のポスター（％）,テレビ・ラジオの政見放送・経歴放送（％）,候補者等の街頭演説（％）,家族、友人、知人からの勧め（％）,候補者等の新聞広告（％）
全体,1246,48.6,37.6,33.1,19.4,15.7,11.1,8.7,8.3
職業別自営業,108,45.4,38.0,36.1,21.3,21.3,12.0,9.3,10.2
職業別勤め人,612,51.6,38.4,29.4,18.6,12.9,10.1,8.2,6.9
職業別学生,21,47.6,38.1,19.0,28.6,19.0,14.3,14.3,9.5
職業別専業主婦(夫),222,46.4,32.4,36.0,17.1,16.7,12.6,12.6,7.7
職業別その他,12,41.7,41.7,8.3,25.0,8.3,16.7,16.7,-
職業別無職(年金受給者含む),264,44.7,39.8,40.5,22.0,18.9,11.4,5.7,11.7
