質問,n,すべてのポスターを一枚一枚よく見た(%),すべてのポスターをざっと見た(%),関心のある候補者のポスターしか見なかった(%),ほとんど見なかった(%),わからない、忘れた(%),無回答(%),見た(計)(%)
今回選挙,(2011),5.1,41.2,12.7,35.2,5.4,0.4,59.0
平成24年都知事選挙,(1822),8.7,49.1,14.2,26.9,0.3,0.9,72.0
平成23年都知事選挙,(1991),7.6,49.2,14.9,27.8,0.3,0.2,71.8
