,ｎ,選挙期間に入る前から（12月1日以前）（％）,投票日当日を除く選挙期間中（12月2日～12月13日まで）（％）,投票日当日（12月14日）（％）,わからない、忘れた（％）,無回答（％）
全体,259,47.9,40.5,8.5,2.3,0.8
選挙への関心度別関心があった（計）,200,52.5,39.0,6.0,2.0,0.5
選挙への関心度別関心がなかった（計）,36,33.3,38.9,25.0,2.8,0.0
選挙への関心度別どちらともいえない,22,31.8,54.5,4.5,4.5,4.5
