,認知度（％）,備考
小選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）,33.3,
投開票速報及び結果,32.8,
比例代表の情報（名簿届出政党等一覧、選挙公報）,29.5,
期日前投票所一覧、開票所一覧,22.5,
国民審査の情報（審査に付される裁判官の氏名、国民審査公報）,10.8,
選挙Ｑ＆Ａ,10.1,
政見放送・経歴放送の日程,9.1,
衆議院議員選挙の概要（投票日や有権者の定義、選挙制度の説明）,8.7,
東京都選挙管理委員会のツイッター,5.4,
東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,5.4,
衆議院議員選挙メッセージツリーイベントサイト,2.6,
衆議院議員選挙投票率推移や年代別推定投票率のグラフ,1.9,
今後のアップロード予定,1.6,
その他,0.2,
わからない、覚えていない,40.7,
無回答,3.5,
,,（ｎ＝427）
