,ｎ,知っている（％）,知らなかった（％）,無回答（％）
全体,1827,52.3,41.2,6.6
投票への参加状況別投票した,1246,58.9,34.6,6.5
投票への参加状況別投票しなかった,563,37.5,56.0,6.6
インターネットの利用有無別利用している,984,63.2,36.7,0.1
インターネットの利用有無別利用していない,835,39.6,46.5,13.9
