,ｎ,庁舎・公共施設等での選挙広報用ポスター（女優の広瀬すずさん起用）（％）,選挙広報用の新聞広告（％）,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映（％）,区市町村の広報掲示板（％）,区市町村の広報車（％）,国、都、区市町村の広報誌（％）,コンビニレジ画面の広告（％）,わからない、忘れた（％）,,
全体,1823,34.7,22.0,21.9,21.8,20.6,20.6,13.2,19.4,,
性別男性,852,36.6,23.1,26.1,21.5,20.8,20.4,12.7,18.5,,
性別女性,971,33.0,21.0,18.3,22.0,20.5,20.7,13.7,20.2,,
年齢別18歳,7,28.6,14.3,14.3,-,-,-,28.6,14.3,,
年齢別19歳,20,40.0,10.0,15.0,5.0,10.0,-,5.0,35.0,,
年齢別20歳代,164,29.3,7.9,27.4,7.3,8.5,8.5,15.2,26.2,,
年齢別30歳代,257,42.0,16.3,35.8,24.5,23.3,17.5,18.7,16.0,,
年齢別40歳代,398,38.4,21.1,30.2,26.9,24.9,21.4,18.6,10.3,,
年齢別50歳代,311,38.3,28.0,21.5,23.5,26.4,21.9,12.5,19.3,,
年齢別60歳代,337,35.6,26.7,13.9,24.6,20.2,26.4,10.1,17.8,,
年齢別70歳代,231,24.2,23.4,8.7,20.3,18.6,23.8,6.5,27.7,,
年齢別80歳以上,98,18.4,28.6,5.1,11.2,8.2,19.4,3.1,37.8,,
