,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,候補者等のポスター（％）,選挙公報（％）,テレビ・ラジオの政見放送・経歴放送（％）,投票所入場（整理）券（％）,候補者等の新聞広告（％）,候補者等の選挙運動用自動車からの連呼（％）,,
全体,1823,87.3,53.1,47.8,39.6,25.9,21.9,19.5,13.5,,
関心度別関心があった(計),1283,91.8,63.3,54.3,50.8,32.7,22.1,24.2,16.0,,
関心度別関心がなかった(計),227,67.4,21.1,21.1,9.7,7.9,9.7,3.1,9.3,,
関心度別どちらともいえない,298,86.2,35.6,42.3,16.1,12.1,31.5,12.8,6.7,,
投票への参加状況別投票した,1435,91.9,59.9,55.5,47.5,31.4,22.6,22.6,15.9,,
投票への参加状況別投票しなかった,377,70.6,28.4,19.1,10.6,6.1,18.8,8.2,4.8,,
