,ｎ,選挙期間に入る前から（6月21日以前）（％）,投票日当日を除く選挙期間中（6月22日から7月9日まで）（％）,投票日当日（7月10日）（％）,わからない、忘れた（％）
全体,1226,21.5,66.2,11.7,0.7
性別男性,582,22.9,66.8,9.5,0.9
性別女性,644,20.2,65.7,13.7,0.5
年齢別18歳,5,20.0,40.0,40.0,0.0
年齢別19歳,9,0.0,66.7,22.2,11.1
年齢別20歳代,69,8.7,62.3,26.1,2.9
年齢別30歳代,172,14.0,68.0,17.4,0.6
年齢別40歳代,277,16.2,72.2,10.8,0.7
年齢別50歳代,228,20.6,68.4,11.0,0.0
年齢別60歳代,255,25.5,66.7,7.5,0.4
年齢別70歳代,158,33.5,58.9,7.0,0.6
年齢別80歳以上,53,41.5,47.2,11.3,0.0
