,ｎ,利用した（％）,知っているが利用していない（％）,知らない（％）,わからない（％）,無回答（％）,知っている（計）（％）,備考
全体,1827,2.0,21.3,71.5,4.4,0.7,23.4,
,,,,,,,,注：合計値では四捨五入の関係上、比率の単純な合計とは多少の差がある。
