,今回選挙（n=1491）(%),平成26年東京都知事選挙（n=999）(%)
国政、都政をよくするためには、投票することが大切だと思ったから,52.4,56.7
当選させたい候補者がいたから,51.4,29.3
今の政治がよくないので、変えたいと思ったから,28.4,18.7
投票することは、義務であるから,27.2,40.9
投票することは、権利であるから,25.7,34.0
自分の支持する政党の推す候補者を当選させたかったから,19.7,8.8
テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,10.6,7.3
当選させたくない候補者がいたから,3.8,4.6
自分の関係する団体、組織、知り合いの人に投票を頼まれたから,3.2,3.1
投票率が気になったから,3.2,4.7
友人や家族が行くから、なんとなく,2.9,4.2
インターネット上の情報を見て興味を持ったから,2.2,1.3
その他,0.2,1.4
わからない,0.6,0.3
無回答,-,0.3
