,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,無回答（％）,
今回選挙,1823,66.3,23.0,10.7,0.0,
平成25年参議院議員選挙,1089,49.8,36.8,11.1,2.3,
