質問,ア)n,ア)投票日前に投票できる制度(期日前投票)があること知っている(%),ア)投票日前に投票できる制度(期日前投票)があること知らなかった(%),ア)投票日前に投票できる制度(期日前投票)があること無回答(%),イ)ウ)エ)オ)カ)n,イ)仕事や買い物、旅行などを理由として期日前投票ができること知っている(%),イ)仕事や買い物、旅行などを理由として期日前投票ができること知らなかった(%),イ)仕事や買い物、旅行などを理由として期日前投票ができること無回答(%),ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること知っている(%),ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること知らなかった(%),ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること無回答(%),エ)期日前投票は、告示日の翌日から投票日の前日(土日含む)までの間できること知っている(%),エ)期日前投票は、告示日の翌日から投票日の前日(土日含む)までの間できること知らなかった(%),エ)期日前投票は、告示日の翌日から投票日の前日(土日含む)までの間できること無回答(%),オ)期日前投票は夜の8時までできること知っている(%),オ)期日前投票は夜の8時までできること知らなかった(%),オ)期日前投票は夜の8時までできること無回答(%),カ)今回の選挙で期日前投票ができる場所が特設HPに掲載されていること知っている(%),カ)今回の選挙で期日前投票ができる場所が特設HPに掲載されていること知らなかった(%),カ)今回の選挙で期日前投票ができる場所が特設HPに掲載されていること無回答(%)
全体,(2011),86.8,11.8,1.3,(1746),85.6,13.0,1.4,71.1,27.5,1.4,69.4,29.2,1.5,62.1,36.5,1.4,17.6,80.9,1.5
地域別区部,(1392),82.5,15.9,1.7,(1148),83.8,14.5,1.7,65.2,33.3,1.6,70.3,28.0,1.7,56.4,42.2,1.5,22.0,76.3,1.7
地域別市郡部,(619),96.6,2.7,0.6,(598),89.0,10.0,1.0,82.4,16.6,1.0,67.6,31.3,1.2,73.2,25.6,1.2,9.0,89.6,1.3
