,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,候補者等のポスター（％）,選挙公報（％）,テレビ・ラジオの政見放送・経歴放送（％）,投票所入場（整理）券（％）,候補者等の新聞広告（％）,候補者等の選挙運動用自動車からの連呼（％）,,
全体,1823,87.3,53.1,47.8,39.6,25.9,21.9,19.5,13.5,,
職業別自営業,133,81.2,58.6,39.8,42.1,34.6,17.3,21.1,13.5,,
職業別勤め人,821,87.6,49.1,52.7,35.4,24.8,27.4,20.5,13.0,,
職業別学生,47,78.7,29.8,25.5,21.3,12.8,10.6,2.1,14.9,,
職業別専業主婦(夫),395,92.7,57.5,53.7,47.1,28.9,23.5,22.8,16.7,,
職業別その他,25,84.0,44.0,24.0,32.0,28.0,8.0,4.0,4.0,,
職業別無職(年金受給者含む),402,84.6,58.5,38.6,42.5,23.9,12.9,16.7,11.7,,
地域別区部,1381,87.1,49.1,51.3,39.9,26.9,24.3,21.9,13.6,,
地域別市郡部,442,87.8,65.6,36.7,38.7,23.1,14.5,12.0,13.1,,
