,割合（％）,備考
テレビ・ラジオの選挙報道,71.3,
候補者等のポスター,43.4,
新聞・雑誌などの選挙報道,42.8,
選挙公報,38.5,
投票所入場（整理）券,26.3,
候補者等の街頭演説,22.1,
候補者等の新聞広告,15.7,
候補者のはがき・ビラ,14.4,
家族、友人、知人からの勧め,8.8,
政党、候補者の後援会などからの推薦,4.9,
候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,4.6,
候補者の個人演説会,3.9,
その他,0.8,
どれにも接していない,6.4,
わからない、忘れた,1.4,
無回答,0.5,
,,（ｎ＝1827）
