,ｎ,知っている（％）,知らなかった（％）,無回答（％）
全体,1827,52.3,41.2,6.6
性別男性,882,58.7,35.4,5.9
性別女性,945,46.2,46.6,7.2
年齢別20歳代,174,46.6,52.3,1.1
年齢別30歳代,261,58.6,39.1,2.3
年齢別40歳代,365,58.4,38.6,3.0
年齢別50歳代,294,62.6,33.0,4.4
年齢別60歳代,313,53.4,38.3,8.3
年齢別70歳代,296,42.9,41.9,15.2
年齢別80歳以上,124,24.2,62.1,13.7
職業別自営業,152,57.9,32.2,9.9
職業別勤め人,934,57.4,38.5,4.1
職業別学生,35,42.9,57.1,0.0
職業別専業主婦(夫),309,47.6,46.0,6.5
職業別その他,18,44.4,44.4,11.1
職業別無職(年金受給者含む),370,41.9,45.9,12.2
