,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,
全体,1823,66.3,23.0,10.7,
公報配布方法別新聞折り込(5区1市),296,61.5,26.0,12.5,
公報配布方法別各戸配布(18区25市),1527,67.2,22.5,10.3,
