,今回選挙（ｎ=377）(%),平成25年参議院議員選挙（ｎ=366）(%),,,,
仕事が忙しく、時間がなかったから,34.7,38.8,,,,
病気（看病を含む）又は体調が悪かったから,22.3,9.3,,,,
適当な候補者がいなかったから,18.0,13.7,,,,
自分一人が投票しなくても選挙の結果に影響がないから,15.4,15.8,,,,
政治や選挙には関心がないから,14.1,16.4,,,,
選挙によって政治や暮らしが良くなるわけではないから,11.1,8.2,,,,
投票所へ行くのが面倒だったから,8.8,11.5,,,,
旅行に出かけていたから,4.2,13.9,,,,
投票日を忘れていたから、知らなかったから,4.0,4.6,,,,
候補者の人柄や政策がわからなかったから,3.7,3.0,,,,
投票所が遠かった（不便だった、わからなかった）から,2.1,0.3,,,,
その他,2.9,3.3,,,,
わからない、忘れた,1.9,1.4,,,,
無回答,-,2.2,,,,
