,ｎ,電車・駅構内、庁舎・公共施設等での選挙公報用ポスター（仲間由紀恵）（％）,選挙広報用の新聞広告（％）,区市町村の広報車（％）,国、都、区市町村の広報誌（％）,区市町村の広報掲示板（％）,ラジオ告知（都民ニュース）（％）,見たり聞いたりしたものはない（％）,わからない、忘れた（％）
全体,1827,34.1,30.7,19.4,16.7,14.4,5.6,21.3,11.4
職業別自営業,152,28.3,37.5,19.7,16.4,15.8,6.6,18.4,13.8
職業別勤め人,934,40.0,27.0,18.8,15.2,14.1,5.2,20.2,12.4
職業別学生,35,34.3,17.1,17.1,2.9,8.6,5.7,20.0,14.3
職業別専業主婦(夫),309,30.7,33.3,22.7,17.8,15.5,3.9,21.4,11.0
職業別その他,18,38.9,22.2,5.6,11.1,5.6,5.6,38.9,11.1
職業別無職(年金受給者含む),370,23.8,36.8,18.4,21.6,14.3,7.6,24.9,8.1
地域別区部,1189,34.2,28.4,17.6,15.2,14.2,5.0,23.4,11.9
地域別市郡部,638,33.9,34.8,22.7,19.6,14.9,6.6,17.6,10.7
