地域,No.,対象区市町村の町丁名,標本数
センター・コア・エリア,1,千代田区岩本町1丁目,15
センター・コア・エリア,2,中央区勝どき1丁目,15
センター・コア・エリア,3,中央区日本橋蛎殻町1丁目,15
センター・コア・エリア,4,港区元麻布2丁目,15
センター・コア・エリア,5,港区芝3丁目,15
センター・コア・エリア,6,港区台場2丁目,15
センター・コア・エリア,7,港区北青山1丁目,15
センター・コア・エリア,8,新宿区戸山2丁目,15
センター・コア・エリア,9,新宿区若松町,15
センター・コア・エリア,10,新宿区西新宿3丁目,15
センター・コア・エリア,11,新宿区早稲田鶴巻町,15
センター・コア・エリア,12,新宿区百人町1丁目,15
センター・コア・エリア,13,文京区音羽1丁目,15
センター・コア・エリア,14,文京区千石2丁目,15
センター・コア・エリア,15,文京区白山3丁目,15
センター・コア・エリア,16,台東区花川戸2丁目,15
センター・コア・エリア,17,台東区西浅草2丁目,15
センター・コア・エリア,18,台東区東上野4丁目,15
センター・コア・エリア,19,墨田区京島1丁目,15
センター・コア・エリア,20,墨田区千歳2丁目,15
センター・コア・エリア,21,墨田区文花1丁目,15
センター・コア・エリア,22,墨田区緑2丁目,15
センター・コア・エリア,23,江東区亀戸4丁目,15
センター・コア・エリア,24,江東区新大橋1丁目,15
センター・コア・エリア,25,江東区大島5丁目,15
センター・コア・エリア,26,江東区東砂1丁目,15
センター・コア・エリア,27,江東区南砂2丁目,15
センター・コア・エリア,28,江東区北砂1丁目,15
センター・コア・エリア,29,渋谷区恵比寿1丁目,15
センター・コア・エリア,30,渋谷区笹塚3丁目,15
センター・コア・エリア,31,渋谷区代官山町,15
センター・コア・エリア,32,渋谷区富ケ谷2丁目,15
センター・コア・エリア,33,豊島区高田3丁目,15
センター・コア・エリア,34,豊島区千早2丁目,15
センター・コア・エリア,35,豊島区長崎1丁目,15
センター・コア・エリア,36,豊島区南長崎1丁目,15
センター・コア・エリア,37,荒川区荒川3丁目,15
センター・コア・エリア,38,荒川区西尾久8丁目,15
センター・コア・エリア,39,荒川区東尾久3丁目,15
区部東部・北部エリア,40,北区岸町2丁目,15
区部東部・北部エリア,41,北区上十条5丁目,15
区部東部・北部エリア,42,北区赤羽西1丁目,15
区部東部・北部エリア,43,北区滝野川3丁目,15
区部東部・北部エリア,44,北区田端新町2丁目,15
区部東部・北部エリア,45,北区豊島5丁目,15
区部東部・北部エリア,46,板橋区幸町,15
区部東部・北部エリア,47,板橋区坂下2丁目,15
区部東部・北部エリア,48,板橋区小豆沢4丁目,15
区部東部・北部エリア,49,板橋区成増3丁目,15
区部東部・北部エリア,50,板橋区赤塚新町3丁目,15
区部東部・北部エリア,51,板橋区大山東町,15
区部東部・北部エリア,52,板橋区東山町,15
区部東部・北部エリア,53,板橋区板橋2丁目,15
区部東部・北部エリア,54,足立区綾瀬2丁目,15
区部東部・北部エリア,55,足立区関原2丁目,15
区部東部・北部エリア,56,足立区佐野2丁目,15
区部東部・北部エリア,57,足立区西綾瀬3丁目,15
区部東部・北部エリア,58,足立区西保木間4丁目,15
区部東部・北部エリア,59,足立区千住仲町,15
区部東部・北部エリア,60,足立区谷在家3丁目,15
区部東部・北部エリア,61,足立区島根3丁目,15
区部東部・北部エリア,62,足立区入谷8丁目,15
区部東部・北部エリア,63,足立区本木南町,15
区部東部・北部エリア,64,葛飾区亀有1丁目,15
区部東部・北部エリア,65,葛飾区細田3丁目,15
区部東部・北部エリア,66,葛飾区新小岩1丁目,15
区部東部・北部エリア,67,葛飾区西水元5丁目,15
区部東部・北部エリア,68,葛飾区東新小岩1丁目,15
区部東部・北部エリア,69,葛飾区白鳥3丁目,15
区部東部・北部エリア,70,江戸川区一之江2丁目,15
区部東部・北部エリア,71,江戸川区篠崎町3丁目,15
区部東部・北部エリア,72,江戸川区松島2丁目,15
区部東部・北部エリア,73,江戸川区西葛西2丁目,15
区部東部・北部エリア,74,江戸川区西瑞江3丁目,15
区部東部・北部エリア,75,江戸川区中葛西2丁目,15
区部東部・北部エリア,76,江戸川区東葛西7丁目,15
区部東部・北部エリア,77,江戸川区南葛西5丁目,15
区部東部・北部エリア,78,江戸川区平井3丁目,15
区部東部・北部エリア,79,江戸川区北小岩4丁目,15
区部西部・南部エリア,80,品川区戸越3丁目,15
区部西部・南部エリア,81,品川区西五反田5丁目,15
区部西部・南部エリア,82,品川区大井4丁目,15
区部西部・南部エリア,83,品川区東大井3丁目,15
区部西部・南部エリア,84,品川区南品川5丁目,15
区部西部・南部エリア,85,品川区北品川4丁目,15
区部西部・南部エリア,86,目黒区自由が丘2丁目,15
区部西部・南部エリア,87,目黒区中央町1丁目,15
区部西部・南部エリア,88,目黒区八雲1丁目,15
区部西部・南部エリア,89,目黒区目黒本町5丁目,15
区部西部・南部エリア,90,大田区蒲田1丁目,15
区部西部・南部エリア,91,大田区上池台3丁目,15
区部西部・南部エリア,92,大田区西糀谷1丁目,15
区部西部・南部エリア,93,大田区大森西5丁目,15
区部西部・南部エリア,94,大田区大森北6丁目,15
区部西部・南部エリア,95,大田区中馬込2丁目,15
区部西部・南部エリア,96,大田区東雪谷5丁目,15
区部西部・南部エリア,97,大田区南雪谷5丁目,15
区部西部・南部エリア,98,大田区北馬込1丁目,15
区部西部・南部エリア,99,世田谷区奥沢6丁目,15
区部西部・南部エリア,100,世田谷区喜多見8丁目,15
区部西部・南部エリア,101,世田谷区玉川台2丁目,15
区部西部・南部エリア,102,世田谷区弦巻5丁目,15
区部西部・南部エリア,103,世田谷区三軒茶屋2丁目,15
区部西部・南部エリア,104,世田谷区上祖師谷1丁目,15
区部西部・南部エリア,105,世田谷区上用賀1丁目,15
区部西部・南部エリア,106,世田谷区瀬田3丁目,15
区部西部・南部エリア,107,世田谷区船橋3丁目,15
区部西部・南部エリア,108,世田谷区代沢4丁目,15
区部西部・南部エリア,109,世田谷区中町2丁目,15
