,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,,,
全体,1823,67.6,22.3,10.1,,,
地域別区部,1381,65.3,23.3,11.4,,,
地域別市郡部,442,74.7,19.2,6.1,,,
