,(n=213)（％）,,,,
ニュースサイトや選挙情報サイト,72.3,,,,
候補者・政党等のホームページ・ブログ,32.4,,,,
まとめサイトや電子掲示板などその他のサイト,20.2,,,,
候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,17.8,,,,
YouTubeなど動画共有サイトでの候補者演説等選挙関連の動画,15.0,,,,
候補者・政党以外のホームページ・ブログ,8.0,,,,
候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,8.0,,,,
候補者等からのメール,1.9,,,,
その他,-,,,,
わからない、忘れた,4.7,,,,
