,ｎ,駅構内、庁舎・公共施設等での選挙広報用ポスター（％）,電車内・駅構内のモニター、街中の大型モニターでの動画広告放映（％）,区市町村の広報掲示板（％）,選挙広報用の新聞広告（％）,区市町村の広報車（％）,都、区市町村の広報誌（％）,見たり聞いたりしたものはない（％）,わからない、忘れた（％）,,
全体,1823,37.5,27.5,22.5,21.9,21.6,20.8,11.2,19.4,,
職業別自営業,133,43.6,22.6,23.3,24.8,12.0,22.6,11.3,19.5,,
職業別勤め人,821,42.9,37.3,24.4,20.5,24.4,19.0,10.0,16.1,,
職業別学生,47,25.5,27.7,6.4,10.6,8.5,6.4,14.9,31.9,,
職業別専業主婦(夫),395,39.2,25.1,24.8,24.6,25.8,27.6,10.1,14.7,,
職業別その他,25,20.0,16.0,4.0,16.0,4.0,12.0,16.0,24.0,,
職業別無職(年金受給者含む),402,25.4,12.4,19.2,22.9,17.7,19.7,14.2,29.1,,
地域別区部,1381,43.2,32.4,26.6,22.8,25.1,22.7,9.5,15.7,,
地域別市郡部,442,19.9,12.4,9.5,19.0,10.6,14.9,16.7,31.0,,
