質問,n=999(％)
ニュースサイトや選挙情報サイト,23.7
候補者等のホームページ・ブログ,11.6
まとめサイトや電子掲示板などその他のサイト,7.7
候補者等のツイッター・フェイスブック等のSNS,5.7
候補者以外のホームページ・ブログ,4.7
YouTubeなど動画共有サイトでの選挙関連の動画,4.0
候補者以外のツイッター・フェイスブック等のSNS,3.6
候補者等からのメール,0.7
触れていない、見ていない,59.2
その他,0.3
わからない、忘れた,7.1
無回答,2.2
