区分,収入額,収入額構成比,内訳党費又は会費,内訳寄附,内訳事業収入,内訳借入金,内訳本部支部交付金,内訳その他の収入
政党支部(百万円),9356,,666,3355,634,57,4136,507
政党支部(%),100.0,64.4,7.1,35.9,6.8,0.6,44.2,5.4
その他の政治団体(百万円),5165,,1027,2306,1296,72,344,119
その他の政治団体(%),100.0,35.6,19.9,44.6,25.1,1.4,6.7,2.3
計(百万円),14521,,1694,5662,1930,129,4480,626
計(%),100.0,100.0,11.7,39.0,13.3,0.9,30.9,4.3
