,ｎ,定期購読している（％）,定期購読していない（％）
全体,1823,68.0,32.0
性別男性,852,69.6,30.4
性別女性,971,66.6,33.4
年齢別18歳,7,57.1,42.9
年齢別19歳,20,15.0,85.0
年齢別20歳代,164,25.6,74.4
年齢別30歳代,257,45.9,54.1
年齢別40歳代,398,66.6,33.4
年齢別50歳代,311,81.4,18.6
年齢別60歳代,337,88.1,11.9
年齢別70歳代,231,80.5,19.5
年齢別80歳以上,98,73.5,26.5
