地域（エリア）名,推定母集団数（人）,地点数（地点）,標本数（人）
センター・コア・エリア,2179915,39,585
区部東部・北部エリア,2234944,40,600
区部西部・南部エリア,3263625,58,877
多摩東部エリア,1343748,24,361
多摩中央部北エリア,496755,9,133
多摩中央部南エリア,1448126,26,389
多摩西部エリア,204557,4,55
計,11171670,200,3000
