,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,
全体,1823,67.6,22.3,10.1,
公報配布方法別新聞折り込(5区1市),296,62.2,26.4,11.5,
公報配布方法別各戸配布(18区25市),1527,68.6,21.5,9.8,
