,全体ｎ,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,関心があった（計）（％）,関心がなかった（計）（％）
参議院議員選挙,1823,34.7,35.7,16.3,6.9,5.6,0.8,70.4,12.5
東京都知事選挙,1823,42.2,35.9,11.5,4.9,4.7,0.8,78.1,9.6
