,ｎ,ネット上の情報が一番参考になった（％）,参考にしたが、その他の情報の方が役にたった（％）,ほとんど参考にしなかった（％）,わからない（％）,無回答（％）,参考にした（計）（％）,備考
全体,373,23.6,33.2,35.7,3.5,4.0,56.8,
,,,,,,,,注：合計値では四捨五入の関係上、比率の単純な合計とは多少の差がある。
